Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
645be69df1ae011651e9941c,6020606d7b0258677b881f63,APPROVED,2023-05-10T18:47:00.258000Z,2023-05-10T19:07:30.578000Z,2023-05-10T19:07:31.392000,2023-05-10T19:07:31.244723Z,1231,CJ5RNK30,792,English,24,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
645be6cbec94ef0355437c6a,60412f7a5f580407f8e6e615,APPROVED,2023-05-10T18:47:44.233000Z,2023-05-10T19:08:15.962000Z,2023-05-11T16:33:20.605000,2023-05-10T19:08:16.754476Z,1232,NOCODE,617,English,37,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
645be6d8b1cb85727082b9ce,5f6f28ca6df91347f156ad9a,APPROVED,2023-05-10T18:48:25.448000Z,2023-05-10T19:09:46.440000Z,2023-05-12T14:27:04.643000,2023-05-10T19:09:47.145499Z,1281,NOCODE,231,English,30,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
645be6f15e481130d9e993fd,611fef91a3800a9e7bfca495,APPROVED,2023-05-10T18:52:38.666000Z,2023-05-10T19:47:54.791000Z,2023-05-10T19:47:56.347000,2023-05-10T19:47:56.193106Z,3317,CJ5RNK30,1687,English,21,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
645be6f8be5f6d1bf7548005,6298e140ee3de09709fcb84c,APPROVED,2023-05-10T18:48:29.397000Z,2023-05-10T19:24:15.426000Z,2023-05-11T15:51:19.396000,2023-05-10T19:24:16.170419Z,2147,NOCODE,887,English,56,Female,Mixed,United States,United States,United States,English,Yes,Other
645be6faa2feff2a739046f2,5aea962d0ef2f20001858c9c,APPROVED,2023-05-10T18:48:40.110000Z,2023-05-10T19:18:05.523000Z,2023-05-10T19:18:06.620000,2023-05-10T19:18:06.462136Z,1766,CJ5RNK30,2416,English,39,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
645be701918a8b5f67d12590,5d32bdd9f0689e00195ac2db,APPROVED,2023-05-10T18:48:40.125000Z,2023-05-10T19:07:54.944000Z,2023-05-10T19:07:59.910000,2023-05-10T19:07:55.681397Z,1155,CJ5RNK30,1417,English,47,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
645be70a90ba70c312e23644,59ea2d5a7f3d71000171e0a9,APPROVED,2023-05-10T18:48:47.384000Z,2023-05-10T19:09:07.657000Z,2023-05-10T19:09:10.775000,2023-05-10T19:09:10.648517Z,1221,C3E2LD8X,696,English,32,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645be7205fb397bc59ce93ae,5920b1f62b529b00013f3214,APPROVED,2023-05-10T18:49:04.906000Z,2023-05-10T19:30:43.501000Z,2023-05-10T19:30:45.021000,2023-05-10T19:30:44.883345Z,2499,CJ5RNK30,2278,English,59,Male,White,United States,United States,United States,English,No,Full-Time
645be75fa87f895836be6ae1,5a04869ff2e3460001edad2e,APPROVED,2023-05-10T18:50:10.592000Z,2023-05-10T19:24:33.548000Z,2023-05-10T19:24:37.616000,2023-05-10T19:24:34.533191Z,2063,CJ5RNK30,2240,English,32,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
